contestant_id,season_number,contestant_entrance,contestant_name,age,hometown_city,hometown_state,season_outcome,handle_instagram,handle_twitter
1,1,1,Shannel,29,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial
2,1,2,Nina Flowers,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers
3,1,3,Rebecca Glasscock,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc
4,1,4,Ongina,26,Los Angeles,California,5,ongina,ongina
5,1,5,Victoria Porkchop Parker,39,Raleigh,North Carolina,9,porkchopla,PorkChopLA ‏
6,1,6,Akashia,24,Cleveland,Ohio,7,akashiadrag,DragAkashia
7,1,7,Tammie Brown,29,Long Beach,California,8,planettammie,thetammiebrown
8,1,8,Jade,25,Chicago,Illinois,6,jadesotomayor,SotomayorJade
9,1,9,BeBe Zahara Benet,28,Minneapolis,Minnesota,1,bebezahara,BeBeZaharaBenet
10,2,1,Nicole Paige Brooks,36,Atlanta,Georgia,11,nicolepaigebrooks,nicolepbrooks
11,2,2,Shangela Laquifa Wadley,28,Los Angeles,California,12,itsshangela,itsSHANGELA
12,2,3,Raven,30,Riverside,California,2,itsravenhunty_,RavenHUNTY
13,2,4,Jujubee,25,Boston,Massachusetts,3,jujubeeonline,jujuboston
14,2,5,Sahara Davenport,25,New York,New York,7,,
15,2,6,Morgan McMichaels,28,Mira Loma,California,8,morganmcmichaels,morganmcmichael
16,2,7,Mystique Summers Madison,25,Bedford,Texas,10,mystiquesummers,MystiqueSummers
17,2,8,Jessica Wild,29,San Juan,Puerto Rico,6,jessicawild88,JessicaWild88
18,2,9,Sonique,26,Atlanta,Georgia,9,xosonique,xoSonique
19,2,10,Tatianna,21,Falls Church,Virginia,4,tatiannagram,TATIANNANOW
20,2,11,Pandora Boxx,37,Rochester,New York,5,pandoraboxx,ThePandoraBoxx
21,2,12,Tyra Sanchez,21,Orlando,Florida,1,,
22,3,1,Delta Work,34,Norwalk,California,7,deltawork,
23,3,2,Carmen Carrera,25,Elmwood Park,New Jersey,5,carmen_carrera,Carmen_Carrera
24,3,3,Phoenix,29,Atlanta,Georgia,12,phoenix_atl,Phoenix_atl
25,3,4,Manila Luzon,28,New York,New York,2,manilaluzon,manilaluzon
26,3,5,Stacy Layne Matthews,25,Back Swamp,North Carolina,8,stacylmatthews,StacyLMatthews
27,3,6,Venus D-Lite,26,Los Angeles,California,13,venusdlitemadonna,venusdlite
28,3,7,Yara Sofia,26,Manati,Puerto Rico,4,yarasofiapr,yarasofiapr
29,3,8,Mariah,29,Atlanta,Georgia,9,mug4dayz,mug4dayz
30,3,9,Alexis Mateo,30,St. Petersburg,Florida,3,miss_alexis_mateo,alexismateo79
31,3,10,India Ferrah,23,Dayton,Ohio,10,indiaferrah,Indiaferrah
32,3,11,Mimi Imfurst,27,New York,New York,11,mimiimfurst,
33,3,12,Raja,36,Los Angeles,California,1,sutanamrull,sutanamrull
34,3,13,Shangela,29,Los Angeles,California,6,itsshangela,itsSHANGELA
35,4,1,Willam,29,Los Angeles,California,7,willam,willam
36,4,2,Lashauwn Beyond,21,Fort Lauderdale,Florida,12,lashauwnbeyond,LashauwnBeyond
37,4,3,Jiggly Caliente,30,Queens,New York,8,jigglycalienteofficial,JigglyCaliente
38,4,4,Phi Phi O'Hara,25,Chicago,Illinois,2,phiphiohara,PhiPhiOhara
39,4,5,Madame LaQueer,29,Carolina,Puerto Rico,10,ditisnietmilan,MadameLaQueer
40,4,6,Milan,36,New York,New York,9,,
41,4,7,Alisa Summers,23,Tampa,Florida,13,,
42,4,8,DiDa Ritz,25,Chicago,Illinois,6,didaswag,MissDidaRitz
43,4,9,The Princess,31,Chicago,Illinois,11,thedragprincess,TheDragPrincess
44,4,10,Kenya Michaels,21,Dorado,Puerto Rico,5,realkenyamichaels,KenyaMichaels
45,4,11,Chad Michaels,40,San Diego,California,2,chadmichaelsallstar,ChadMichaels1
46,4,12,Sharon Needles,29,Pittsburgh,Pennsylvania,1,sharonneedlespgh,SHARON_NEEDLES
47,4,13,Latrice Royale,39,South Beach,Florida,4,latriceroyale,LatriceRoyale
48,5,1,Detox,27,Los Angeles,California,4,theonlydetox,TheOnlyDetox
49,5,2,Roxxxy Andrews,28,Orlando,Florida,2,roxxxyandrews,RoxxxyAndrews
50,5,3,Jade Jolie,25,Gainesville,Florida,8,missjadejolie,QueenJadeJolie
51,5,4,Serena ChaCha,21,Tallahassee,Florida,13,myron.morgan,SerenaChaCha
52,5,5,Alyssa Edwards,32,Mesquite,Texas,6,alyssaedwards_1,AlyssaEdwards_1
53,5,6,Jinkx Monsoon,24,Seattle,Washington,1,thejinkx,JinkxMonsoon
54,5,7,Penny Tration,39,Cincinnati,Ohio,14,misspennytration,PennyTration
55,5,8,Vivienne Pinay,26,New York,New York,10,viviennepinay,ViviennePinay
56,5,9,Alaska,27,Pittsburgh,Pennsylvania,2,theonlyalaska5000,Alaska5000
57,5,10,Honey Mahogany,29,San Francisco,California,10,honeymahogany,honeymahogany
58,5,11,Ivy Winters,22,Greenville,Michigan,7,ivy_winters,Ivy_Winters
59,5,12,Monica Beverly Hillz,27,Owensboro,Kentucky,12,monicabhillz,MonicaBHillz
60,5,13,Lineysha Sparx,24,San Juan,Puerto Rico,9,lineyshasparx,LineyshaSparx
61,5,14,Coco Montrese,37,Las Vegas,Nevada,5,theonlycocomontrese,cocomontrese
62,6,1,Adore Delano,23,Azusa,California,2,adoredelano,AdoreDelano
63,6,2,BenDeLaCreme,31,Seattle,Washington,5,bendelacreme,bendelacreme
64,6,3,Gia Gunn,23,Chicago,Illinois,10,gia_gunn,GiaGunn
65,6,4,Laganja Estranja,24,Van Nuys,California,8,laganjaestranja,LaganjaEstranja
66,6,5,April Carrión,24,Guaynabo,Puerto Rico,11,aprilcarrion,ApriLcarrion
67,6,6,Kelly Mantle,36,Los Angeles,California,13,kellymantle,thekellymantle
68,6,7,Vivacious,40,New York,New York,12,vivaciousnyc,VivaciousNYC
69,6,8,Bianca Del Rio,37,New Orleans,Louisiana,1,thebiancadelrio,TheBiancaDelRio
70,6,9,Trinity K. Bonet,22,Atlanta,Georgia,7,trinitykbonet,trinitykbonet
71,6,10,Joslyn Fox,26,Worcester,Massachusetts,6,joslynfox,Joslyn_Fox
72,6,11,Milk,25,New York,New York,9,bigandmilky,bigandmilky
73,6,12,Magnolia Crawford,28,Seattle,Washington,13,magnoliaisme,magnoliaisme
74,6,13,Courtney Act,31,West Hollywood,California,2,courtneyact,courtneyact
75,6,14,Darienne Lake,41,Rochester,New York,4,dariennelake,dariennelake
76,7,1,Miss Fame,29,New York,New York,7,missfamenyc,MissFameNYC
77,7,2,Ginger Minj,29,Orlando,Florida,2,gingerminj,TheGingerMinj
78,7,3,Jaidynn Diore Fierce,25,Nashville,Tennessee,8,jaidynnfierce,jaidynnfierce
79,7,4,Violet Chachki,22,Atlanta,Georgia,1,violetchachki,VioletChachki
80,7,5,Max,22,Hudson,Wisconsin,9,maxcollective,MAXcollective
81,7,6,Katya,32,Boston,Massachusetts,5,katya_zamo,katya_zamo
82,7,7,Jasmine Masters,37,Los Angeles,California,12,msjasminemasters,
83,7,8,Mrs. Kasha Davis,43,Rochester,New York,11,mrskashadavis,KashaDavis
84,7,9,Trixie Mattel,24,Milwaukee,Wisconsin,6,trixiemattel,trixiemattel
85,7,10,Kandy Ho,28,Cayey,Puerto Rico,10,ho_kandy,kandy_ho
86,7,11,Pearl,23,Brooklyn,New York,2,pearliaison,pearliaison
87,7,12,Kennedy Davenport,33,Dallas,Texas,4,kennedyddoftx,kennedyddoftx
88,7,13,Sasha Belle,28,Iowa City,Iowa,13,sashabelley,SashaBelle3
89,7,14,Tempest DuJour,46,Tucson,Arizona,14,tempestdujour,TempestDujour
90,8,1,Naomi Smalls,21,Redlands,California,2,naomismalls,naomismallsduh
91,8,2,Cynthia Lee Fontaine,34,Austin,Texas,10,cynthialeefontaine,lee_fontaine
92,8,3,Dax ExclamationPoint,31,Savannah,Georgia,11,daxclamation,Daxclamation
93,8,4,Naysha Lopez,31,Chicago,Illinois,9,nayshalopez,nayshalopez
94,8,5,Acid Betty,37,Brooklyn,New York,8,acidbetty,acidbettyrocks
95,8,6,Robbie Turner,33,Seattle,Washington,7,therobbieturner,TheRobbieTurner
96,8,7,Kim Chi,27,Chicago,Illinois,2,kimchi_chic,KimChi_Chic
97,8,8,Thorgy Thor,31,Brooklyn,New York,6,thorgythor,ThorgyThor
98,8,9,Bob the Drag Queen,29,New York,New York,1,bobthedragqueen,thatonequeen
99,8,10,Laila McQueen,22,Gloucester,Massachusetts,11,misslailamcqueen,LailaMcQueen
100,8,11,Chi Chi DeVayne,29,Shreveport,Louisiana,4,chichidevayneofficial,ChiChiDeVayne
101,8,12,Derrick Barry,32,Las Vegas,Nevada,5,derrickbarry,DerrickBarry
102,9,1,Peppermint,37,New York,New York,2,peppermint247,Peppermint247
103,9,2,Valentina,25,Echo Park,California,7,allaboutvalentina,AllOfValentina
104,9,3,Eureka,25,Johnson City,Tennessee,11,eurekaohara,eurekaohara
105,9,4,Charlie Hides,52,Boston,Massachusetts,12,charliehidestv,charliehidestv
106,9,5,Farrah Moan,23,Las Vegas,Nevada,8,farrahrized,farrahrized
107,9,6,Sasha Velour,29,Brooklyn,New York,1,sashavelour,sasha_velour
108,9,7,Alexis Michelle,32,New York,New York,5,alexislives,AlexisLives
109,9,8,Shea Couleé,27,Chicago,Illinois,3,sheacoulee,SheaCoulee
110,9,9,Trinity Taylor,31,Orlando,Florida,3,trinitythetuck,TrinityTheTuck
111,9,10,Kimora Blac,27,Las Vegas,Nevada,13,kimorablac,kimorablac
112,9,11,Jaymes Mansfield,26,Milwaukee,Wisconsin,14,jaymesmansfield,JaymesMansfield
113,9,12,Nina Bo'nina Brown,34,Riverdale,Georgia,6,nina_bonina_brown,atlsexyslim
114,9,13,Aja,22,Brooklyn,New York,9,ajathekween,ajaqueen
115,9,14,Cynthia Lee Fontaine,35,Austin,Texas,10,cynthialeefontaine,lee_fontaine
116,10,1,Eureka,27,Johnson City,Tennessee,2,eurekaohara,eurekaohara
117,10,2,Asia O'Hara,35,Dallas,Texas,4,asiaoharaland,AsiaOharaLand
118,10,3,Miz Cracker,33,Harlem,New York,5,miz_cracker,miz_cracker
119,10,4,Yuhua Hamasaki,27,New York,New York,12,yuhuahamasaki,YuhuaHamasaki
120,10,5,Blair St. Clair,22,Indianapolis,Indiana,9,blairst.clair,BlairStClair
121,10,6,Monét X Change,27,The Bronx,New York,6,monetxchange,monetxchange
122,10,7,Kameron Michaels,31,Nashville,Tennessee,2,kameronmichaels,KameronMichaels
123,10,8,Mayhem Miller,35,Riverside,California,10,theonlymayhem,TheOnlyMayhem
124,10,9,Kalorie Karbdashian Williams,27,Albuquerque,New Mexico,13,kalkarbdashianw,kalKARBdashianw
125,10,10,Monique Heart,31,Kansas City,Missouri,8,iammoniqueheart,IAmMoniqueHeart
126,10,11,Dusty Ray Bottoms,29,New York,New York,11,dustyray,DustyRayBottoms
127,10,12,The Vixen,26,Chicago,Illinois,7,thevixensworld,TheVixensworld
128,10,13,Vanessa Vanjie Mateo,25,Tampa,Florida,14,vanessavanjie,VanessaVanjie
129,10,14,Aquaria,21,Brooklyn,New York,1,ageofaquaria,aquariaofficial
130,11,1,Vanessa Vanjie Mateo,26,Tampa,Florida,5,vanessavanjie,VanessaVanjie
131,11,2,Nina West,39,Columbus,Ohio,6,ninawest,NinaWest
132,11,3,Shuga Cain,40,New York,New York,7,missshugacain,missshugacain
133,11,4,Plastique Tiara,21,Southlake,Texas,8,plastiquetiara,plastiquetiara
134,11,5,Mercedes Iman Diamond,31,Minneapolis,Minnesota,12,mercedesimandiamond,mercedesiman
135,11,6,Scarlet Envy,26,Brooklyn,New York,10,scarletenvy,scarletenvynyc
136,11,7,Honey Davenport,32,New York,New York,13,honeydavenportofficial,honey_davenport
137,11,8,A'keria Chanel Davenport,30,Dallas,Texas,3,mizakeriachanel,a_doublec_d
138,11,9,Yvie Oddly,24,Denver,Colorado,1,oddlyyvie,oddlyyvie
139,11,10,Silky Nutmeg Ganache,28,Chicago,Illinois,2,silkyganache,GanacheSilky
140,11,11,Brooke Lynn Hytes,32,Nashville,Tennessee,3,bhytes,bhytes1
141,11,12,Ariel Versace,26,Cherry Hill,New Jersey,11,arielversace,arielversace
142,11,13,Ra'jah D. O'Hara,33,Dallas,Texas,9,therajahoharashow,RaJahOHara
143,11,14,Kahanna Montrese,25,Las Vegas,Nevada,14,kahannamontrese,kahannamontrese
144,11,15,Soju,27,Chicago,Illinois,15,shotwithsoju,shotwithsoju
145,12,1,Brita,34,New York,New York,9,thebritafilter,thebritafilter
146,12,2,Nicky Doll,28,New York,New York,11,thenickydoll,thenickydoll
147,12,3,Widow Von'Du,30,Kansas City,Missouri,7,thewidowvondu,thewidowvondu
148,12,4,Jackie Cox,34,New York,New York,5,jackiecoxnyc,jackiecoxnyc
149,12,5,Heidi N Closet,24,Ramseur,North Carolina,6,heidincloset,heidincloset
150,12,6,Gigi Goode,21,Los Angeles,California,2,thegigigoode,thegigigoode
151,12,7,Crystal Methyd,28,Springfield,Missouri,2,crystalmethyd,crystalmethyd
152,12,8,Rock M. Sakura,28,San Francisco,California,12,rockmsakura,rockmsakura
153,12,9,Dahlia Sin,28,Los Angeles,California,13,dahlia_sin,dahlia_sin
154,12,10,Sherry Pie,27,New York,New York,0,sherrypienyc,sherrypienyc
155,12,11,Jan,26,New York,New York,8,janjanjan,jansportnyc
156,12,12,Jaida Essence Hall,32,Milwaukee,Wisconsin,1,jaidaehall,jaidaehall
157,12,13,Aiden Zhane,29,Acworth,Georgia,10,aiden_zhane,aiden_zhane
