season_number,episode_number,contestant_id,episode_placement
1,1,9,SAFE
1,1,2,WIN
1,1,3,LOW
1,1,1,SAFE
1,1,4,HIGH
1,1,8,SAFE
1,1,6,BTM2
1,1,7,SAFE
1,1,5,ELIM
1,2,9,SAFE
1,2,2,HIGH
1,2,3,HIGH
1,2,1,HIGH
1,2,4,WIN
1,2,8,SAFE
1,2,6,BTM2
1,2,7,ELIM
1,3,9,WIN
1,3,2,HIGH
1,3,3,SAFE
1,3,1,BTM2
1,3,4,HIGH
1,3,8,LOW
1,3,6,ELIM
1,4,9,HIGH
1,4,2,HIGH
1,4,3,BTM2
1,4,1,LOW
1,4,4,WIN
1,4,8,ELIM
1,5,9,BTM2
1,5,2,LOW
1,5,3,WIN
1,5,1,HIGH
1,5,4,ELIM
1,6,9,WIN
1,6,2,HIGH
1,6,3,BTM2
1,6,1,ELIM
1,8,9,Winner
1,8,2,Runner-up
1,8,3,Eliminated
1,9,9,Guest
1,9,2,Miss C
1,9,3,Guest
1,9,1,Guest
1,9,4,Guest
1,9,8,Guest
1,9,6,Guest
1,9,7,Guest
1,9,5,Guest
2,1,21,HIGH
2,1,12,SAFE
2,1,13,SAFE
2,1,19,SAFE
2,1,20,HIGH
2,1,17,SAFE
2,1,14,BTM2
2,1,15,WIN
2,1,18,SAFE
2,1,16,LOW
2,1,10,SAFE
2,1,11,ELIM
2,2,21,HIGH
2,2,12,BTM2
2,2,13,HIGH
2,2,19,SAFE
2,2,20,SAFE
2,2,17,HIGH
2,2,14,WIN
2,2,15,SAFE
2,2,18,LOW
2,2,16,HIGH
2,2,10,ELIM
2,3,21,WIN
2,3,12,BTM2
2,3,13,SAFE
2,3,19,SAFE
2,3,20,HIGH
2,3,17,HIGH
2,3,14,SAFE
2,3,15,SAFE
2,3,18,SAFE
2,3,16,ELIM
2,4,21,SAFE
2,4,12,SAFE
2,4,13,LOW
2,4,19,WIN
2,4,20,HIGH
2,4,17,SAFE
2,4,14,SAFE
2,4,15,BTM2
2,4,18,ELIM
2,5,21,WIN
2,5,12,HIGH
2,5,13,HIGH
2,5,19,SAFE
2,5,20,LOW
2,5,17,HIGH
2,5,14,BTM2
2,5,15,ELIM
2,6,21,LOW
2,6,12,HIGH
2,6,13,BTM2
2,6,19,SAFE
2,6,20,HIGH
2,6,17,WIN
2,6,14,ELIM
2,7,21,HIGH
2,7,12,WIN
2,7,13,HIGH
2,7,19,BTM2
2,7,20,LOW
2,7,17,ELIM
2,8,21,HIGH
2,8,12,WIN
2,8,13,BTM2
2,8,19,HIGH
2,8,20,ELIM
2,9,21,WIN
2,9,12,HIGH
2,9,13,BTM2
2,9,19,ELIM
2,11,21,Winner
2,11,12,Runner-up
2,11,13,Eliminated
2,12,21,Guest
2,12,12,Guest
2,12,13,Guest
2,12,19,Guest
2,12,20,Miss C
2,12,17,Guest
2,12,14,Guest
2,12,15,Guest
2,12,18,Guest
2,12,16,Guest
2,12,10,Guest
2,12,11,Guest
3,2,33,WIN
3,2,25,HIGH
3,2,30,SAFE
3,2,28,SAFE
3,2,23,LOW
3,2,34,BTM2
3,2,22,SAFE
3,2,26,SAFE
3,2,29,SAFE
3,2,31,SAFE
3,2,32,HIGH
3,2,24,SAFE
3,2,27,ELIM
3,3,33,SAFE
3,3,25,SAFE
3,3,30,WIN
3,3,28,HIGH
3,3,23,LOW
3,3,34,WIN
3,3,22,BTM2
3,3,26,HIGH
3,3,29,HIGH
3,3,31,SAFE
3,3,32,HIGH
3,3,24,ELIM
3,4,33,SAFE
3,4,25,SAFE
3,4,30,WIN
3,4,28,HIGH
3,4,23,SAFE
3,4,34,SAFE
3,4,22,SAFE
3,4,26,HIGH
3,4,29,LOW
3,4,31,BTM2
3,4,32,ELIM
3,5,33,SAFE
3,5,25,WIN
3,5,30,SAFE
3,5,28,SAFE
3,5,23,SAFE
3,5,34,HIGH
3,5,22,SAFE
3,5,26,BTM2
3,5,29,LOW
3,5,31,ELIM
3,6,33,HIGH
3,6,25,SAFE
3,6,30,HIGH
3,6,28,LOW
3,6,23,SAFE
3,6,34,SAFE
3,6,22,BTM2
3,6,26,WIN
3,6,29,ELIM
3,7,33,WIN
3,7,25,HIGH
3,7,30,BTM2
3,7,28,HIGH
3,7,23,LOW
3,7,34,LOW
3,7,22,HIGH
3,7,26,ELIM
3,8,33,HIGH
3,8,25,BTM2
3,8,30,SAFE
3,8,28,HIGH
3,8,23,HIGH
3,8,34,WIN
3,8,22,ELIM
3,9,33,LOW
3,9,25,LOW
3,9,30,WIN
3,9,28,BTM2
3,9,23,BTM2
3,9,34,SAFE
3,10,33,WIN
3,10,25,HIGH
3,10,30,LOW
3,10,28,SAFE
3,10,23,ELIM
3,10,34,BTM2
3,11,33,HIGH
3,11,25,HIGH
3,11,30,BTM2
3,11,28,WIN
3,11,34,ELIM
3,12,33,BTM2
3,12,25,WIN
3,12,30,HIGH
3,12,28,SAFE
3,12,23,ELIM
3,13,33,HIGH
3,13,25,WIN
3,13,30,BTM2
3,13,28,ELIM
3,15,33,Winner
3,15,25,Runner-up
3,15,30,Eliminated
3,16,33,Guest
3,16,25,Guest
3,16,30,Guest
3,16,28,Miss C
3,16,23,Guest
3,16,34,Guest
3,16,22,Guest
3,16,26,Guest
3,16,29,Guest
3,16,31,Guest
3,16,32,Guest
3,16,24,Guest
3,16,27,Guest
4,1,46,WIN
4,1,45,SAFE
4,1,38,SAFE
4,1,47,SAFE
4,1,44,LOW
4,1,42,SAFE
4,1,35,SAFE
4,1,37,BTM2
4,1,40,SAFE
4,1,39,SAFE
4,1,43,HIGH
4,1,36,HIGH
4,1,41,ELIM
4,2,46,HIGH
4,2,45,WIN
4,2,38,SAFE
4,2,47,SAFE
4,2,44,SAFE
4,2,42,LOW
4,2,35,SAFE
4,2,37,SAFE
4,2,40,HIGH
4,2,39,WIN
4,2,43,BTM2
4,2,36,ELIM
4,3,46,WIN
4,3,45,HIGH
4,3,38,SAFE
4,3,47,SAFE
4,3,44,HIGH
4,3,42,BTM2
4,3,35,SAFE
4,3,37,SAFE
4,3,40,SAFE
4,3,39,LOW
4,3,43,ELIM
4,4,46,SAFE
4,4,45,HIGH
4,4,38,HIGH
4,4,47,WIN
4,4,44,LOW
4,4,42,SAFE
4,4,35,HIGH
4,4,37,HIGH
4,4,40,BTM2
4,4,39,ELIM
4,5,46,HIGH
4,5,45,WIN
4,5,38,LOW
4,5,47,SAFE
4,5,44,ELIM
4,5,42,SAFE
4,5,35,HIGH
4,5,37,SAFE
4,5,40,BTM2
4,6,46,SAFE
4,6,45,SAFE
4,6,38,HIGH
4,6,47,HIGH
4,6,42,LOW
4,6,35,WIN
4,6,37,BTM2
4,6,40,ELIM
4,7,46,HIGH
4,7,45,LOW
4,7,38,WIN
4,7,47,LOW
4,7,42,SAFE
4,7,35,BTM2
4,7,37,ELIM
4,8,46,BTM2
4,8,45,SAFE
4,8,38,BTM2
4,8,47,WIN
4,8,42,SAFE
4,8,35,DISQ
4,9,46,WIN
4,9,45,HIGH
4,9,38,LOW
4,9,47,BTM2
4,9,42,ELIM
4,10,46,LOW
4,10,45,HIGH
4,10,38,WIN
4,10,47,BTM2
4,10,44,ELIM
4,11,46,WIN
4,11,45,BTM2
4,11,38,HIGH
4,11,47,ELIM
4,13,46,SAFE
4,13,45,SAFE
4,13,38,SAFE
4,14,46,Winner
4,14,45,Runner-up
4,14,38,Runner-up
4,14,47,Miss C
4,14,44,Guest
4,14,42,Guest
4,14,35,Guest
4,14,37,Guest
4,14,40,Guest
4,14,39,Guest
4,14,43,Guest
4,14,36,Guest
4,14,41,Guest
5,1,53,SAFE
5,1,56,HIGH
5,1,49,WIN
5,1,48,SAFE
5,1,61,SAFE
5,1,52,SAFE
5,1,58,HIGH
5,1,50,LOW
5,1,60,HIGH
5,1,57,SAFE
5,1,55,SAFE
5,1,59,SAFE
5,1,51,BTM2
5,1,54,ELIM
5,2,53,SAFE
5,2,56,SAFE
5,2,49,SAFE
5,2,48,SAFE
5,2,61,SAFE
5,2,52,SAFE
5,2,58,HIGH
5,2,50,SAFE
5,2,60,WIN
5,2,57,HIGH
5,2,55,HIGH
5,2,59,BTM2
5,2,51,ELIM
5,3,53,HIGH
5,3,56,LOW
5,3,49,HIGH
5,3,48,WIN
5,3,61,BTM2
5,3,52,SAFE
5,3,58,SAFE
5,3,50,SAFE
5,3,60,SAFE
5,3,57,SAFE
5,3,55,LOW
5,3,59,ELIM
5,4,53,HIGH
5,4,56,SAFE
5,4,49,LOW
5,4,48,SAFE
5,4,61,SAFE
5,4,52,WIN
5,4,58,HIGH
5,4,50,SAFE
5,4,60,SAFE
5,4,57,ELIM
5,4,55,ELIM
5,5,53,WIN
5,5,56,HIGH
5,5,49,HIGH
5,5,48,BTM2
5,5,61,SAFE
5,5,52,SAFE
5,5,58,LOW
5,5,50,SAFE
5,5,60,ELIM
5,6,53,HIGH
5,6,56,SAFE
5,6,49,HIGH
5,6,48,SAFE
5,6,61,BTM2
5,6,52,LOW
5,6,58,WIN
5,6,50,ELIM
5,7,53,HIGH
5,7,56,HIGH
5,7,49,BTM2
5,7,48,SAFE
5,7,61,WIN
5,7,52,BTM2
5,7,58,LOW
5,8,53,HIGH
5,8,56,WIN
5,8,49,LOW
5,8,48,HIGH
5,8,61,SAFE
5,8,52,BTM2
5,8,58,ELIM
5,9,53,WIN
5,9,56,HIGH
5,9,49,HIGH
5,9,48,LOW
5,9,61,BTM2
5,9,52,ELIM
5,10,53,HIGH
5,10,56,LOW
5,10,49,WIN
5,10,48,BTM2
5,10,61,ELIM
5,11,53,BTM2
5,11,56,WIN
5,11,49,HIGH
5,11,48,ELIM
5,12,53,SAFE
5,12,56,SAFE
5,12,49,SAFE
5,14,53,Winner
5,14,56,Runner-up
5,14,49,Runner-up
5,14,48,Guest
5,14,61,Guest
5,14,52,Guest
5,14,58,Miss C
5,14,50,Guest
5,14,60,Guest
5,14,57,Guest
5,14,55,Guest
5,14,59,Guest
5,14,51,Guest
5,14,54,Guest
6,1,62,LOW
6,1,63,WIN
6,1,65,SAFE
6,1,64,SAFE
6,1,66,HIGH
6,1,68,BTM2
6,1,67,ELIM
6,2,69,WIN
6,2,74,SAFE
6,2,75,BTM2
6,2,71,LOW
6,2,70,HIGH
6,2,72,HIGH
6,2,73,ELIM
6,3,69,HIGH
6,3,62,LOW
6,3,74,HIGH
6,3,75,WIN
6,3,63,SAFE
6,3,71,HIGH
6,3,70,HIGH
6,3,65,SAFE
6,3,72,HIGH
6,3,64,SAFE
6,3,66,BTM2
6,3,68,ELIM
6,4,69,SAFE
6,4,62,HIGH
6,4,74,WIN
6,4,75,LOW
6,4,63,HIGH
6,4,71,SAFE
6,4,70,BTM2
6,4,65,SAFE
6,4,72,SAFE
6,4,64,SAFE
6,4,66,ELIM
6,5,69,HIGH
6,5,62,HIGH
6,5,74,SAFE
6,5,75,SAFE
6,5,63,WIN
6,5,71,SAFE
6,5,70,SAFE
6,5,65,BTM2
6,5,72,LOW
6,5,64,ELIM
6,6,69,HIGH
6,6,62,WIN
6,6,74,SAFE
6,6,75,LOW
6,6,63,SAFE
6,6,71,HIGH
6,6,70,BTM2
6,6,65,SAFE
6,6,72,ELIM
6,7,69,HIGH
6,7,62,WIN
6,7,74,LOW
6,7,75,BTM2
6,7,63,BTM2
6,7,71,LOW
6,7,70,HIGH
6,7,65,WIN
6,8,69,WIN
6,8,62,SAFE
6,8,74,SAFE
6,8,75,HIGH
6,8,63,LOW
6,8,71,BTM2
6,8,70,HIGH
6,8,65,ELIM
6,9,69,SAFE
6,9,62,BTM2
6,9,74,WIN
6,9,75,SAFE
6,9,63,HIGH
6,9,71,LOW
6,9,70,ELIM
6,10,69,WIN
6,10,62,BTM2
6,10,74,LOW
6,10,75,LOW
6,10,63,HIGH
6,10,71,ELIM
6,11,69,SAFE
6,11,62,WIN
6,11,74,LOW
6,11,75,BTM2
6,11,63,ELIM
6,12,69,SAFE
6,12,62,SAFE
6,12,74,SAFE
6,12,75,ELIM
6,14,69,Winner
6,14,62,Runner-up
6,14,74,Runner-up
6,14,75,Guest
6,14,63,Miss C
6,14,71,Guest
6,14,70,Guest
6,14,65,Guest
6,14,72,Guest
6,14,64,Guest
6,14,66,Guest
6,14,68,Guest
6,14,73,Guest
6,14,67,Guest
7,1,79,WIN
7,1,77,SAFE
7,1,86,SAFE
7,1,87,HIGH
7,1,81,SAFE
7,1,84,SAFE
7,1,76,HIGH
7,1,78,SAFE
7,1,80,SAFE
7,1,85,BTM2
7,1,83,SAFE
7,1,82,LOW
7,1,88,LOW
7,1,89,ELIM
7,2,79,HIGH
7,2,77,WIN
7,2,86,SAFE
7,2,87,SAFE
7,2,81,BTM2
7,2,84,SAFE
7,2,76,LOW
7,2,78,SAFE
7,2,80,SAFE
7,2,85,SAFE
7,2,83,HIGH
7,2,82,SAFE
7,2,88,ELIM
7,3,79,SAFE
7,3,77,HIGH
7,3,86,LOW
7,3,87,BTM2
7,3,81,SAFE
7,3,84,HIGH
7,3,76,HIGH
7,3,78,HIGH
7,3,80,WIN
7,3,85,SAFE
7,3,83,HIGH
7,3,82,ELIM
7,4,79,SAFE
7,4,77,SAFE
7,4,86,BTM2
7,4,87,WIN
7,4,81,HIGH
7,4,84,ELIM
7,4,76,SAFE
7,4,78,HIGH
7,4,80,SAFE
7,4,85,LOW
7,4,83,SAFE
7,5,79,LOW
7,5,77,SAFE
7,5,86,WIN
7,5,87,SAFE
7,5,81,SAFE
7,5,76,SAFE
7,5,78,SAFE
7,5,80,WIN
7,5,85,BTM2
7,5,83,ELIM
7,6,79,SAFE
7,6,77,HIGH
7,6,86,SAFE
7,6,87,HIGH
7,6,81,WIN
7,6,76,LOW
7,6,78,BTM2
7,6,80,SAFE
7,6,85,ELIM
7,7,79,SAFE
7,7,77,WIN
7,7,86,SAFE
7,7,87,WIN
7,7,81,HIGH
7,7,76,LOW
7,7,78,BTM2
7,7,80,ELIM
7,8,79,HIGH
7,8,77,BTM2
7,8,86,WIN
7,8,87,SAFE
7,8,81,HIGH
7,8,84,WIN
7,8,76,LOW
7,8,78,ELIM
7,8,80,OUT
7,8,85,OUT
7,8,83,OUT
7,8,82,OUT
7,8,88,OUT
7,8,89,OUT
7,9,79,LOW
7,9,77,WIN
7,9,86,BTM2
7,9,87,SAFE
7,9,81,HIGH
7,9,84,SAFE
7,9,76,ELIM
7,10,79,WIN
7,10,77,BTM2
7,10,86,SAFE
7,10,87,SAFE
7,10,81,WIN
7,10,84,ELIM
7,11,79,WIN
7,11,77,SAFE
7,11,86,SAFE
7,11,87,BTM2
7,11,81,ELIM
7,12,79,SAFE
7,12,77,SAFE
7,12,86,SAFE
7,12,87,ELIM
7,14,79,Winner
7,14,77,Runner-up
7,14,86,Runner-up
7,14,87,Guest
7,14,81,Miss C
7,14,84,Guest
7,14,76,Guest
7,14,78,Guest
7,14,80,Guest
7,14,85,Guest
7,14,83,Guest
7,14,82,Guest
7,14,88,Guest
7,14,89,Guest
8,1,98,SAFE
8,1,96,WIN
8,1,90,SAFE
8,1,100,SAFE
8,1,101,HIGH
8,1,97,SAFE
8,1,95,LOW
8,1,94,HIGH
8,1,93,ELIM
8,1,91,SAFE
8,1,92,SAFE
8,1,99,BTM2
8,2,98,SAFE
8,2,96,LOW
8,2,90,SAFE
8,2,100,WIN
8,2,101,SAFE
8,2,97,HIGH
8,2,95,SAFE
8,2,94,HIGH
8,2,91,SAFE
8,2,92,ELIM
8,2,99,ELIM
8,3,98,WIN
8,3,96,SAFE
8,3,90,SAFE
8,3,100,SAFE
8,3,101,LOW
8,3,97,HIGH
8,3,95,BTM2
8,3,94,HIGH
8,3,93,SAFE
8,3,91,ELIM
8,4,98,SAFE
8,4,96,HIGH
8,4,90,HIGH
8,4,100,BTM2
8,4,101,LOW
8,4,97,SAFE
8,4,95,WIN
8,4,94,SAFE
8,4,93,ELIM
8,5,98,WIN
8,5,96,SAFE
8,5,90,BTM2
8,5,100,SAFE
8,5,101,HIGH
8,5,97,HIGH
8,5,95,LOW
8,5,94,ELIM
8,6,98,SAFE
8,6,96,HIGH
8,6,90,WIN
8,6,100,LOW
8,6,101,BTM2
8,6,97,SAFE
8,6,95,ELIM
8,7,98,WIN
8,7,96,SAFE
8,7,90,SAFE
8,7,100,BTM2
8,7,101,WIN
8,7,97,ELIM
8,8,98,BTM2
8,8,96,WIN
8,8,90,HIGH
8,8,100,HIGH
8,8,101,ELIM
8,9,98,SAFE
8,9,96,SAFE
8,9,90,SAFE
8,9,100,ELIM
8,10,98,Winner
8,10,96,Runner-up
8,10,90,Runner-up
8,10,100,Guest
8,10,101,Guest
8,10,97,Guest
8,10,95,Guest
8,10,94,Guest
8,10,93,Guest
8,10,91,Miss C
8,10,92,Guest
8,10,99,Guest
9,1,107,HIGH
9,1,102,SAFE
9,1,109,SAFE
9,1,110,SAFE
9,1,108,SAFE
9,1,113,WIN
9,1,103,SAFE
9,1,106,SAFE
9,1,114,SAFE
9,1,104,HIGH
9,1,105,SAFE
9,1,111,SAFE
9,1,112,SAFE
9,2,107,SAFE
9,2,102,SAFE
9,2,109,HIGH
9,2,110,HIGH
9,2,108,SAFE
9,2,113,SAFE
9,2,103,WIN
9,2,106,SAFE
9,2,114,SAFE
9,2,115,SAFE
9,2,104,SAFE
9,2,105,LOW
9,2,111,BTM2
9,2,112,ELIM
9,3,107,SAFE
9,3,102,HIGH
9,3,109,SAFE
9,3,110,WIN
9,3,108,SAFE
9,3,113,SAFE
9,3,103,HIGH
9,3,106,LOW
9,3,114,BTM2
9,3,115,SAFE
9,3,104,SAFE
9,3,105,SAFE
9,3,111,ELIM
9,4,107,WIN
9,4,102,LOW
9,4,109,WIN
9,4,110,BTM2
9,4,108,HIGH
9,4,113,SAFE
9,4,103,HIGH
9,4,106,HIGH
9,4,114,HIGH
9,4,115,SAFE
9,4,104,SAFE
9,4,105,ELIM
9,5,107,SAFE
9,5,102,HIGH
9,5,109,WIN
9,5,110,SAFE
9,5,108,HIGH
9,5,113,LOW
9,5,103,SAFE
9,5,106,BTM2
9,5,114,SAFE
9,5,115,BTM2
9,5,104,OUT
9,6,107,HIGH
9,6,102,BTM2
9,6,109,SAFE
9,6,110,SAFE
9,6,108,WIN
9,6,113,HIGH
9,6,103,SAFE
9,6,106,LOW
9,6,114,SAFE
9,6,115,ELIM
9,7,107,LOW
9,7,102,SAFE
9,7,109,HIGH
9,7,110,WIN
9,7,108,SAFE
9,7,113,BTM2
9,7,103,HIGH
9,7,106,SAFE
9,7,114,ELIM
9,8,107,HIGH
9,8,102,WIN
9,8,109,HIGH
9,8,110,LOW
9,8,108,BTM2
9,8,113,SAFE
9,8,103,SAFE
9,8,106,ELIM
9,9,107,WIN
9,9,102,HIGH
9,9,109,WIN
9,9,110,HIGH
9,9,108,LOW
9,9,113,BTM2
9,9,103,ELIM
9,10,107,HIGH
9,10,102,SAFE
9,10,109,BTM2
9,10,110,WIN
9,10,108,LOW
9,10,113,ELIM
9,11,107,HIGH
9,11,102,BTM2
9,11,109,WIN
9,11,110,LOW
9,11,108,ELIM
9,12,107,SAFE
9,12,102,SAFE
9,12,109,SAFE
9,12,110,SAFE
9,13,107,Guest
9,13,102,Guest
9,13,109,Guest
9,13,110,Guest
9,13,108,Guest
9,13,113,Guest
9,13,103,Miss C
9,13,106,Guest
9,13,114,Guest
9,13,115,Guest
9,13,104,Guest
9,13,105,Guest
9,13,111,Guest
9,13,112,Guest
9,14,107,Winner
9,14,102,Runner-up
9,14,109,Eliminated
9,14,110,Eliminated
9,14,108,Guest
9,14,113,Guest
9,14,103,Guest
9,14,106,Guest
9,14,114,Guest
9,14,115,Guest
9,14,104,Guest
9,14,105,Guest
9,14,111,Guest
9,14,112,Guest
10,1,129,SAFE
10,1,116,SAFE
10,1,122,SAFE
10,1,117,SAFE
10,1,118,HIGH
10,1,121,SAFE
10,1,127,SAFE
10,1,125,SAFE
10,1,120,HIGH
10,1,123,WIN
10,1,126,LOW
10,1,119,HIGH
10,1,124,BTM2
10,1,128,ELIM
10,2,129,SAFE
10,2,116,BTM2
10,2,122,HIGH
10,2,117,SAFE
10,2,118,HIGH
10,2,121,HIGH
10,2,127,WIN
10,2,125,LOW
10,2,120,HIGH
10,2,123,HIGH
10,2,126,SAFE
10,2,119,SAFE
10,2,124,ELIM
10,3,129,SAFE
10,3,116,HIGH
10,3,122,LOW
10,3,117,WIN
10,3,118,SAFE
10,3,121,SAFE
10,3,127,SAFE
10,3,125,SAFE
10,3,120,HIGH
10,3,123,BTM2
10,3,126,SAFE
10,3,119,ELIM
10,4,129,WIN
10,4,116,SAFE
10,4,122,HIGH
10,4,117,LOW
10,4,118,HIGH
10,4,121,BTM2
10,4,127,SAFE
10,4,125,SAFE
10,4,120,SAFE
10,4,123,SAFE
10,4,126,ELIM
10,5,129,SAFE
10,5,116,WIN
10,5,122,SAFE
10,5,117,SAFE
10,5,118,HIGH
10,5,121,BTM2
10,5,127,LOW
10,5,125,HIGH
10,5,120,SAFE
10,5,123,ELIM
10,6,129,SAFE
10,6,116,WIN
10,6,122,HIGH
10,6,117,SAFE
10,6,118,LOW
10,6,121,HIGH
10,6,127,BTM2
10,6,125,SAFE
10,6,120,ELIM
10,7,129,WIN
10,7,116,HIGH
10,7,122,SAFE
10,7,117,LOW
10,7,118,SAFE
10,7,121,HIGH
10,7,127,BTM2
10,7,125,ELIM
10,8,129,LOW
10,8,116,SAFE
10,8,122,WIN
10,8,117,BTM2
10,8,118,SAFE
10,8,121,HIGH
10,8,127,ELIM
10,9,129,HIGH
10,9,116,BTM2
10,9,122,BTM2
10,9,117,WIN
10,9,118,LOW
10,9,121,HIGH
10,10,129,LOW
10,10,116,HIGH
10,10,122,BTM2
10,10,117,HIGH
10,10,118,WIN
10,10,121,ELIM
10,11,129,WIN
10,11,116,HIGH
10,11,122,BTM2
10,11,117,HIGH
10,11,118,ELIM
10,12,129,SAFE
10,12,116,SAFE
10,12,122,SAFE
10,12,117,SAFE
10,13,129,Guest
10,13,116,Guest
10,13,122,Guest
10,13,117,Guest
10,13,118,Guest
10,13,121,Guest
10,13,127,Guest
10,13,125,Guest
10,13,120,Guest
10,13,123,Guest
10,13,126,Guest
10,13,119,Guest
10,13,124,Guest
10,13,128,Guest
10,14,129,Winner
10,14,116,Runner-up
10,14,122,Runner-up
10,14,117,Eliminated
10,14,118,Guest
10,14,121,Miss C
10,14,127,Guest
10,14,125,Guest
10,14,120,Guest
10,14,123,Guest
10,14,126,Guest
10,14,119,Guest
10,14,124,Guest
10,14,128,Guest
11,1,137,HIGH
11,1,140,WIN
11,1,139,SAFE
11,1,138,SAFE
11,1,130,HIGH
11,1,131,LOW
11,1,132,SAFE
11,1,133,HIGH
11,1,142,SAFE
11,1,135,SAFE
11,1,141,SAFE
11,1,134,LOW
11,1,136,SAFE
11,1,143,BTM2
11,1,144,ELIM
11,2,137,SAFE
11,2,140,LOW
11,2,139,SAFE
11,2,138,WIN
11,2,130,SAFE
11,2,131,SAFE
11,2,132,HIGH
11,2,133,HIGH
11,2,142,SAFE
11,2,135,WIN
11,2,141,LOW
11,2,134,BTM2
11,2,136,SAFE
11,2,143,ELIM
11,3,137,BTM6
11,3,140,HIGH
11,3,139,HIGH
11,3,138,HIGH
11,3,130,HIGH
11,3,131,WIN
11,3,132,BTM6
11,3,133,BTM6
11,3,142,BTM6
11,3,135,BTM6
11,3,141,HIGH
11,3,134,HIGH
11,3,136,ELIM
11,4,137,SAFE
11,4,140,HIGH
11,4,139,WIN
11,4,138,HIGH
11,4,130,LOW
11,4,131,SAFE
11,4,132,SAFE
11,4,133,SAFE
11,4,142,BTM2
11,4,135,SAFE
11,4,141,SAFE
11,4,134,ELIM
11,5,137,SAFE
11,5,140,WIN
11,5,139,LOW
11,5,138,HIGH
11,5,130,SAFE
11,5,131,SAFE
11,5,132,BTM2
11,5,133,HIGH
11,5,142,SAFE
11,5,135,SAFE
11,5,141,ELIM
11,6,137,WIN
11,6,140,HIGH
11,6,139,HIGH
11,6,138,HIGH
11,6,130,SAFE
11,6,131,LOW
11,6,132,HIGH
11,6,133,SAFE
11,6,142,BTM2
11,6,135,ELIM
11,7,137,BTM2
11,7,140,HIGH
11,7,139,SAFE
11,7,138,HIGH
11,7,130,SAFE
11,7,131,LOW
11,7,132,SAFE
11,7,133,WIN
11,7,142,ELIM
11,8,137,SAFE
11,8,140,BTM2
11,8,139,WIN
11,8,138,BTM2
11,8,130,LOW
11,8,131,HIGH
11,8,132,HIGH
11,8,133,SAFE
11,9,137,WIN
11,9,140,HIGH
11,9,139,HIGH
11,9,138,SAFE
11,9,130,BTM2
11,9,131,SAFE
11,9,132,LOW
11,9,133,ELIM
11,10,137,SAFE
11,10,140,HIGH
11,10,139,LOW
11,10,138,SAFE
11,10,130,BTM2
11,10,131,WIN
11,10,132,ELIM
11,11,137,HIGH
11,11,140,WIN
11,11,139,BTM2
11,11,138,LOW
11,11,130,HIGH
11,11,131,ELIM
11,11,132,Guest
11,11,133,Guest
11,11,135,Guest
11,11,141,Guest
11,11,136,Guest
11,11,144,Guest
11,12,137,SAFE
11,12,140,BTM2
11,12,139,SAFE
11,12,138,SAFE
11,12,130,ELIM
11,13,137,Guest
11,13,140,Guest
11,13,139,Guest
11,13,138,Guest
11,13,130,Guest
11,13,131,Guest
11,13,132,Guest
11,13,133,Guest
11,13,142,Guest
11,13,135,Guest
11,13,141,Guest
11,13,134,Guest
11,13,136,Guest
11,13,143,Guest
11,13,144,Guest
