contestant_id,season_number,episode_number,episode_placement
69,6,12,SAFE
62,6,12,SAFE
74,6,12,SAFE
75,6,12,ELIM
69,6,14,Winner
62,6,14,Runner-up
74,6,14,Runner-up
75,6,14,Guest
63,6,14,Miss C
71,6,14,Guest
70,6,14,Guest
65,6,14,Guest
72,6,14,Guest
64,6,14,Guest
66,6,14,Guest
68,6,14,Guest
73,6,14,Guest
67,6,14,Guest
79,7,1,WIN
77,7,1,SAFE
86,7,1,SAFE
87,7,1,HIGH
81,7,1,SAFE
84,7,1,SAFE
76,7,1,HIGH
78,7,1,SAFE
80,7,1,SAFE
85,7,1,BTM2
83,7,1,SAFE
82,7,1,LOW
88,7,1,LOW
89,7,1,ELIM
79,7,2,HIGH
77,7,2,WIN
86,7,2,SAFE
87,7,2,SAFE
81,7,2,BTM2
84,7,2,SAFE
76,7,2,LOW
78,7,2,SAFE
80,7,2,SAFE
85,7,2,SAFE
83,7,2,HIGH
82,7,2,SAFE
88,7,2,ELIM
79,7,3,SAFE
77,7,3,HIGH
86,7,3,LOW
87,7,3,BTM2
81,7,3,SAFE
84,7,3,HIGH
76,7,3,HIGH
78,7,3,HIGH
80,7,3,WIN
85,7,3,SAFE
83,7,3,HIGH
82,7,3,ELIM
79,7,4,SAFE
77,7,4,SAFE
86,7,4,BTM2
87,7,4,WIN
81,7,4,HIGH
84,7,4,ELIM
76,7,4,SAFE
78,7,4,HIGH
80,7,4,SAFE
85,7,4,LOW
83,7,4,SAFE
79,7,5,LOW
77,7,5,SAFE
86,7,5,WIN
87,7,5,SAFE
81,7,5,SAFE
76,7,5,SAFE
78,7,5,SAFE
80,7,5,WIN
85,7,5,BTM2
83,7,5,ELIM
79,7,6,SAFE
77,7,6,HIGH
86,7,6,SAFE
87,7,6,HIGH
81,7,6,WIN
76,7,6,LOW
78,7,6,BTM2
80,7,6,SAFE
85,7,6,ELIM
79,7,7,SAFE
77,7,7,WIN
86,7,7,SAFE
87,7,7,WIN
81,7,7,HIGH
76,7,7,LOW
78,7,7,BTM2
80,7,7,ELIM
79,7,8,HIGH
77,7,8,BTM2
86,7,8,WIN
87,7,8,SAFE
81,7,8,HIGH
84,7,8,WIN
76,7,8,LOW
78,7,8,ELIM
80,7,8,OUT
85,7,8,OUT
83,7,8,OUT
82,7,8,OUT
88,7,8,OUT
89,7,8,OUT
79,7,9,LOW
77,7,9,WIN
86,7,9,BTM2
87,7,9,SAFE
81,7,9,HIGH
84,7,9,SAFE
76,7,9,ELIM
79,7,10,WIN
77,7,10,BTM2
86,7,10,SAFE
87,7,10,SAFE
81,7,10,WIN
84,7,10,ELIM
79,7,11,WIN
77,7,11,SAFE
86,7,11,SAFE
87,7,11,BTM2
81,7,11,ELIM
79,7,12,SAFE
77,7,12,SAFE
86,7,12,SAFE
87,7,12,ELIM
79,7,14,Winner
77,7,14,Runner-up
86,7,14,Runner-up
87,7,14,Guest
81,7,14,Miss C
84,7,14,Guest
76,7,14,Guest
78,7,14,Guest
80,7,14,Guest
85,7,14,Guest
83,7,14,Guest
82,7,14,Guest
88,7,14,Guest
89,7,14,Guest
98,8,1,SAFE
96,8,1,WIN
90,8,1,SAFE
100,8,1,SAFE
101,8,1,HIGH
97,8,1,SAFE
95,8,1,LOW
94,8,1,HIGH
93,8,1,ELIM
91,8,1,SAFE
92,8,1,SAFE
99,8,1,BTM2
98,8,2,SAFE
96,8,2,LOW
90,8,2,SAFE
100,8,2,WIN
101,8,2,SAFE
97,8,2,HIGH
95,8,2,SAFE
94,8,2,HIGH
91,8,2,SAFE
92,8,2,ELIM
99,8,2,ELIM
98,8,3,WIN
96,8,3,SAFE
90,8,3,SAFE
100,8,3,SAFE
101,8,3,LOW
97,8,3,HIGH
95,8,3,BTM2
94,8,3,HIGH
93,8,3,SAFE
91,8,3,ELIM
98,8,4,SAFE
96,8,4,HIGH
90,8,4,HIGH
100,8,4,BTM2
101,8,4,LOW
97,8,4,SAFE
95,8,4,WIN
94,8,4,SAFE
93,8,4,ELIM
98,8,5,WIN
96,8,5,SAFE
90,8,5,BTM2
100,8,5,SAFE
101,8,5,HIGH
97,8,5,HIGH
95,8,5,LOW
94,8,5,ELIM
98,8,6,SAFE
96,8,6,HIGH
90,8,6,WIN
100,8,6,LOW
101,8,6,BTM2
97,8,6,SAFE
95,8,6,ELIM
98,8,7,WIN
96,8,7,SAFE
90,8,7,SAFE
100,8,7,BTM2
101,8,7,WIN
97,8,7,ELIM
98,8,8,BTM2
96,8,8,WIN
90,8,8,HIGH
100,8,8,HIGH
101,8,8,ELIM
98,8,9,SAFE
96,8,9,SAFE
90,8,9,SAFE
100,8,9,ELIM
98,8,10,Winner
96,8,10,Runner-up
90,8,10,Runner-up
100,8,10,Guest
101,8,10,Guest
97,8,10,Guest
95,8,10,Guest
94,8,10,Guest
93,8,10,Guest
91,8,10,Miss C
92,8,10,Guest
99,8,10,Guest
107,9,1,HIGH
102,9,1,SAFE
109,9,1,SAFE
110,9,1,SAFE
108,9,1,SAFE
113,9,1,WIN
103,9,1,SAFE
106,9,1,SAFE
114,9,1,SAFE
104,9,1,HIGH
105,9,1,SAFE
111,9,1,SAFE
112,9,1,SAFE
107,9,2,SAFE
102,9,2,SAFE
109,9,2,HIGH
110,9,2,HIGH
108,9,2,SAFE
113,9,2,SAFE
103,9,2,WIN
106,9,2,SAFE
114,9,2,SAFE
115,9,2,SAFE
104,9,2,SAFE
105,9,2,LOW
111,9,2,BTM2
112,9,2,ELIM
107,9,3,SAFE
102,9,3,HIGH
109,9,3,SAFE
110,9,3,WIN
108,9,3,SAFE
113,9,3,SAFE
103,9,3,HIGH
106,9,3,LOW
114,9,3,BTM2
115,9,3,SAFE
104,9,3,SAFE
105,9,3,SAFE
111,9,3,ELIM
107,9,4,WIN
102,9,4,LOW
109,9,4,WIN
110,9,4,BTM2
108,9,4,HIGH
113,9,4,SAFE
103,9,4,HIGH
106,9,4,HIGH
114,9,4,HIGH
115,9,4,SAFE
104,9,4,SAFE
105,9,4,ELIM
107,9,5,SAFE
102,9,5,HIGH
109,9,5,WIN
110,9,5,SAFE
108,9,5,HIGH
113,9,5,LOW
103,9,5,SAFE
106,9,5,BTM2
114,9,5,SAFE
115,9,5,BTM2
104,9,5,OUT
107,9,6,HIGH
102,9,6,BTM2
109,9,6,SAFE
110,9,6,SAFE
108,9,6,WIN
113,9,6,HIGH
103,9,6,SAFE
106,9,6,LOW
114,9,6,SAFE
115,9,6,ELIM
107,9,7,LOW
102,9,7,SAFE
109,9,7,HIGH
110,9,7,WIN
108,9,7,SAFE
113,9,7,BTM2
103,9,7,HIGH
106,9,7,SAFE
114,9,7,ELIM
107,9,8,HIGH
102,9,8,WIN
109,9,8,HIGH
110,9,8,LOW
108,9,8,BTM2
113,9,8,SAFE
103,9,8,SAFE
106,9,8,ELIM
107,9,9,WIN
102,9,9,HIGH
109,9,9,WIN
110,9,9,HIGH
108,9,9,LOW
113,9,9,BTM2
103,9,9,ELIM
107,9,10,HIGH
102,9,10,SAFE
109,9,10,BTM2
110,9,10,WIN
108,9,10,LOW
113,9,10,ELIM
107,9,11,HIGH
102,9,11,BTM2
109,9,11,WIN
110,9,11,LOW
108,9,11,ELIM
107,9,12,SAFE
102,9,12,SAFE
109,9,12,SAFE
110,9,12,SAFE
107,9,13,Guest
102,9,13,Guest
109,9,13,Guest
110,9,13,Guest
108,9,13,Guest
113,9,13,Guest
103,9,13,Miss C
106,9,13,Guest
114,9,13,Guest
115,9,13,Guest
104,9,13,Guest
105,9,13,Guest
111,9,13,Guest
112,9,13,Guest
107,9,14,Winner
102,9,14,Runner-up
109,9,14,Eliminated
110,9,14,Eliminated
108,9,14,Guest
113,9,14,Guest
103,9,14,Guest
106,9,14,Guest
114,9,14,Guest
115,9,14,Guest
104,9,14,Guest
105,9,14,Guest
111,9,14,Guest
112,9,14,Guest
129,10,1,SAFE
116,10,1,SAFE
122,10,1,SAFE
117,10,1,SAFE
118,10,1,HIGH
121,10,1,SAFE
127,10,1,SAFE
125,10,1,SAFE
120,10,1,HIGH
123,10,1,WIN
126,10,1,LOW
119,10,1,HIGH
124,10,1,BTM2
128,10,1,ELIM
129,10,2,SAFE
116,10,2,BTM2
122,10,2,HIGH
117,10,2,SAFE
118,10,2,HIGH
121,10,2,HIGH
127,10,2,WIN
125,10,2,LOW
120,10,2,HIGH
123,10,2,HIGH
126,10,2,SAFE
119,10,2,SAFE
124,10,2,ELIM
129,10,3,SAFE
116,10,3,HIGH
122,10,3,LOW
117,10,3,WIN
118,10,3,SAFE
121,10,3,SAFE
127,10,3,SAFE
125,10,3,SAFE
120,10,3,HIGH
123,10,3,BTM2
126,10,3,SAFE
119,10,3,ELIM
129,10,4,WIN
116,10,4,SAFE
122,10,4,HIGH
117,10,4,LOW
118,10,4,HIGH
121,10,4,BTM2
127,10,4,SAFE
125,10,4,SAFE
120,10,4,SAFE
123,10,4,SAFE
126,10,4,ELIM
129,10,5,SAFE
116,10,5,WIN
122,10,5,SAFE
117,10,5,SAFE
118,10,5,HIGH
121,10,5,BTM2
127,10,5,LOW
125,10,5,HIGH
120,10,5,SAFE
123,10,5,ELIM
129,10,6,SAFE
116,10,6,WIN
122,10,6,HIGH
117,10,6,SAFE
118,10,6,LOW
121,10,6,HIGH
127,10,6,BTM2
125,10,6,SAFE
120,10,6,ELIM
129,10,7,WIN
116,10,7,HIGH
122,10,7,SAFE
117,10,7,LOW
118,10,7,SAFE
121,10,7,HIGH
127,10,7,BTM2
125,10,7,ELIM
129,10,8,LOW
116,10,8,SAFE
122,10,8,WIN
117,10,8,BTM2
118,10,8,SAFE
121,10,8,HIGH
127,10,8,ELIM
129,10,9,HIGH
116,10,9,BTM2
122,10,9,BTM2
117,10,9,WIN
118,10,9,LOW
121,10,9,HIGH
129,10,10,LOW
116,10,10,HIGH
122,10,10,BTM2
117,10,10,HIGH
118,10,10,WIN
121,10,10,ELIM
129,10,11,WIN
116,10,11,HIGH
122,10,11,BTM2
117,10,11,HIGH
118,10,11,ELIM
129,10,12,SAFE
116,10,12,SAFE
122,10,12,SAFE
117,10,12,SAFE
129,10,13,Guest
116,10,13,Guest
122,10,13,Guest
117,10,13,Guest
118,10,13,Guest
121,10,13,Guest
127,10,13,Guest
125,10,13,Guest
120,10,13,Guest
123,10,13,Guest
126,10,13,Guest
119,10,13,Guest
124,10,13,Guest
128,10,13,Guest
129,10,14,Winner
116,10,14,Runner-up
122,10,14,Runner-up
117,10,14,Eliminated
118,10,14,Guest
121,10,14,Miss C
127,10,14,Guest
125,10,14,Guest
120,10,14,Guest
123,10,14,Guest
126,10,14,Guest
119,10,14,Guest
124,10,14,Guest
128,10,14,Guest
137,11,1,HIGH
140,11,1,WIN
139,11,1,SAFE
138,11,1,SAFE
130,11,1,HIGH
131,11,1,LOW
132,11,1,SAFE
133,11,1,HIGH
142,11,1,SAFE
135,11,1,SAFE
141,11,1,SAFE
134,11,1,LOW
136,11,1,SAFE
143,11,1,BTM2
144,11,1,ELIM
137,11,2,SAFE
140,11,2,LOW
139,11,2,SAFE
138,11,2,WIN
130,11,2,SAFE
131,11,2,SAFE
132,11,2,HIGH
133,11,2,HIGH
142,11,2,SAFE
135,11,2,WIN
141,11,2,LOW
134,11,2,BTM2
136,11,2,SAFE
143,11,2,ELIM
137,11,3,BTM6
140,11,3,HIGH
139,11,3,HIGH
138,11,3,HIGH
130,11,3,HIGH
131,11,3,WIN
132,11,3,BTM6
133,11,3,BTM6
142,11,3,BTM6
135,11,3,BTM6
141,11,3,HIGH
134,11,3,HIGH
136,11,3,ELIM
137,11,4,SAFE
140,11,4,HIGH
139,11,4,WIN
138,11,4,HIGH
130,11,4,LOW
131,11,4,SAFE
132,11,4,SAFE
133,11,4,SAFE
142,11,4,BTM2
135,11,4,SAFE
141,11,4,SAFE
134,11,4,ELIM
137,11,5,SAFE
140,11,5,WIN
139,11,5,LOW
138,11,5,HIGH
130,11,5,SAFE
131,11,5,SAFE
132,11,5,BTM2
133,11,5,HIGH
142,11,5,SAFE
135,11,5,SAFE
141,11,5,ELIM
137,11,6,WIN
140,11,6,HIGH
139,11,6,HIGH
138,11,6,HIGH
130,11,6,SAFE
131,11,6,LOW
132,11,6,HIGH
133,11,6,SAFE
142,11,6,BTM2
135,11,6,ELIM
137,11,7,BTM2
140,11,7,HIGH
139,11,7,SAFE
138,11,7,HIGH
130,11,7,SAFE
131,11,7,LOW
132,11,7,SAFE
133,11,7,WIN
142,11,7,ELIM
137,11,8,SAFE
140,11,8,BTM2
139,11,8,WIN
138,11,8,BTM2
130,11,8,LOW
131,11,8,HIGH
132,11,8,HIGH
133,11,8,SAFE
137,11,9,WIN
140,11,9,HIGH
139,11,9,HIGH
138,11,9,SAFE
130,11,9,BTM2
131,11,9,SAFE
132,11,9,LOW
133,11,9,ELIM
137,11,10,SAFE
140,11,10,HIGH
139,11,10,LOW
138,11,10,SAFE
130,11,10,BTM2
131,11,10,WIN
132,11,10,ELIM
137,11,11,HIGH
140,11,11,WIN
139,11,11,BTM2
138,11,11,LOW
130,11,11,HIGH
131,11,11,ELIM
132,11,11,Guest
133,11,11,Guest
135,11,11,Guest
141,11,11,Guest
136,11,11,Guest
144,11,11,Guest
137,11,12,SAFE
140,11,12,BTM2
139,11,12,SAFE
138,11,12,SAFE
130,11,12,ELIM
137,11,13,Guest
140,11,13,Guest
139,11,13,Guest
138,11,13,Guest
130,11,13,Guest
131,11,13,Guest
132,11,13,Guest
133,11,13,Guest
142,11,13,Guest
135,11,13,Guest
141,11,13,Guest
134,11,13,Guest
136,11,13,Guest
143,11,13,Guest
144,11,13,Guest
